experiment,model,metric,n,run1_mean,run1_std,run2_mean,run2_std,mean_delta,max_abs_seed_delta,changed_seeds,all_equal_at_1e_12
A_author_cleaned_code_grid,SVM,accuracy,10,0.9573529411764706,0.032106907634927094,0.9573529411764706,0.032106907634927094,0.0,0.0,0,True
A_author_cleaned_code_grid,SVM,balanced_accuracy,10,0.9578792934675289,0.032325033127400975,0.9578792934675289,0.032325033127400975,0.0,0.0,0,True
A_author_cleaned_code_grid,SVM,precision,10,0.9615549401578812,0.04359665831972931,0.9615549401578812,0.04359665831972931,0.0,0.0,0,True
A_author_cleaned_code_grid,SVM,recall,10,0.9529423252952665,0.03501605764065028,0.9529423252952665,0.03501605764065028,0.0,0.0,0,True
A_author_cleaned_code_grid,SVM,specificity,10,0.9628162616397911,0.04292045359609876,0.9628162616397911,0.04292045359609876,0.0,0.0,0,True
A_author_cleaned_code_grid,SVM,f1,10,0.956746788567078,0.03234772584770666,0.956746788567078,0.03234772584770666,0.0,0.0,0,True
A_author_cleaned_code_grid,SVM,mcc,10,0.9153828545312617,0.06425744432105013,0.9153828545312617,0.06425744432105013,0.0,0.0,0,True
A_author_cleaned_code_grid,SVM,roc_auc,10,0.9918482597260825,0.008121447491008632,0.9918482597260825,0.008121447491008632,0.0,0.0,0,True
A_author_cleaned_code_grid,SVM,pr_auc,10,0.9920417566169284,0.008336999675340653,0.9920417566169284,0.008336999675340653,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,accuracy,10,0.9573529411764706,0.032106907634927094,0.9573529411764706,0.032106907634927094,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,balanced_accuracy,10,0.9578792934675289,0.032325033127400975,0.9578792934675289,0.032325033127400975,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,precision,10,0.9615549401578812,0.04359665831972931,0.9615549401578812,0.04359665831972931,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,recall,10,0.9529423252952665,0.03501605764065028,0.9529423252952665,0.03501605764065028,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,specificity,10,0.9628162616397911,0.04292045359609876,0.9628162616397911,0.04292045359609876,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,f1,10,0.956746788567078,0.03234772584770666,0.956746788567078,0.03234772584770666,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,mcc,10,0.9153828545312617,0.06425744432105013,0.9153828545312617,0.06425744432105013,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,roc_auc,10,0.9918482597260825,0.008121447491008632,0.9918482597260825,0.008121447491008632,0.0,0.0,0,True
B_author_cleaned_MCC_grid,SVM,pr_auc,10,0.9920417566169284,0.008336999675340653,0.9920417566169284,0.008336999675340653,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,accuracy,10,0.952112676056338,0.020138601492513817,0.952112676056338,0.020138601492513817,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,balanced_accuracy,10,0.9529672165711631,0.019188560321769743,0.9529672165711631,0.019188560321769743,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,precision,10,0.9321720413146559,0.04203800407906436,0.9321720413146559,0.04203800407906436,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,recall,10,0.9701676342580041,0.023643222010863295,0.9701676342580041,0.023643222010863295,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,specificity,10,0.9357667988843217,0.0398968970320921,0.9357667988843217,0.0398968970320921,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,f1,10,0.9501324251477545,0.022516594743085615,0.9501324251477545,0.022516594743085615,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,mcc,10,0.9053184308942821,0.03948058002580043,0.9053184308942821,0.03948058002580043,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,roc_auc,10,0.9942258502327768,0.004910325311995425,0.9942258502327768,0.004910325311995425,0.0,0.0,0,True
C_independent_ESM_CleanLab_code_grid,SVM,pr_auc,10,0.9936093482975528,0.005215414891289094,0.9936093482975528,0.005215414891289094,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,accuracy,1,0.9264705882352942,,0.9264705882352942,,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,balanced_accuracy,1,0.9268398268398268,,0.9268398268398268,,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,precision,1,0.9411764705882352,,0.9411764705882352,,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,recall,1,0.9142857142857144,,0.9142857142857144,,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,specificity,1,0.9393939393939394,,0.9393939393939394,,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,f1,1,0.927536231884058,,0.927536231884058,,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,mcc,1,0.8533103351879247,,0.8533103351879247,,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,roc_auc,1,0.9584415584415584,,0.9584415584415584,,0.0,0.0,0,True
D_author_LSTM_split42_harness_seed0,LSTM,pr_auc,1,0.9215535246199372,,0.9215535246199372,,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,accuracy,10,0.9455882352941176,0.031041451370563838,0.9455882352941176,0.031041451370563838,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,balanced_accuracy,10,0.9450399645920813,0.030594925287852057,0.9450399645920813,0.030594925287852057,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,precision,10,0.9479569942011892,0.043217749322993326,0.9479569942011892,0.043217749322993326,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,recall,10,0.9432465056184223,0.0325640552975305,0.9432465056184223,0.0325640552975305,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,specificity,10,0.9468334235657405,0.04317262681009506,0.9468334235657405,0.04317262681009506,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,f1,10,0.9451307179811321,0.03088324635189459,0.9451307179811321,0.03088324635189459,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,mcc,10,0.8914438965320934,0.062443013868243795,0.8914438965320934,0.062443013868243795,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,roc_auc,10,0.984034674284682,0.01689455482529721,0.984034674284682,0.01689455482529721,0.0,0.0,0,True
E_independent_LSTM_10_splits,LSTM,pr_auc,10,0.9798245468482369,0.02276621003517764,0.9798245468482369,0.02276621003517764,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,accuracy,10,0.9117647058823529,0.02941176470588234,0.9117647058823529,0.02941176470588234,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,balanced_accuracy,10,0.9112320249243286,0.029244767930155652,0.9112320249243286,0.029244767930155652,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,precision,10,0.9111930009819005,0.05270864945469617,0.9111930009819005,0.05270864945469617,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,recall,10,0.9132019417408411,0.04388645669261073,0.9132019417408411,0.04388645669261073,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,specificity,10,0.9092621081078155,0.05273375333132361,0.9092621081078155,0.05273375333132361,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,f1,10,0.9107177924649565,0.0291481293202749,0.9107177924649565,0.0291481293202749,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,mcc,10,0.8247325363231145,0.059024245849372256,0.8247325363231145,0.059024245849372256,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,roc_auc,10,0.9478212664895992,0.025681213847658015,0.9478212664895992,0.025681213847658015,0.0,0.0,0,True
F_TableS2_fixed_parameters,KNN,pr_auc,10,0.9291382433207213,0.03515591228735716,0.9291382433207213,0.03515591228735716,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,accuracy,10,0.9294117647058823,0.033101849051243394,0.9294117647058823,0.033101849051243394,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,balanced_accuracy,10,0.9296713737805662,0.0333696270511583,0.9296713737805662,0.0333696270511583,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,precision,10,0.9294412126954821,0.03539088041274041,0.9294412126954821,0.03539088041274041,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,recall,10,0.9296212213859272,0.04741674836641472,0.9296212213859272,0.04741674836641472,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,specificity,10,0.9297215261752052,0.03778696672272859,0.9297215261752052,0.03778696672272859,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,f1,10,0.9288607987332498,0.03222287410096425,0.9288607987332498,0.03222287410096425,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,mcc,10,0.8594073277090747,0.06648325306130252,0.8594073277090747,0.06648325306130252,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,roc_auc,10,0.9877528680074287,0.010204166130968619,0.9877528680074287,0.010204166130968619,0.0,0.0,0,True
F_TableS2_fixed_parameters,LR,pr_auc,10,0.9884970811790816,0.009555544127397484,0.9884970811790816,0.009555544127397484,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,accuracy,10,0.9426470588235294,0.014623954794290493,0.9426470588235294,0.014623954794290493,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,balanced_accuracy,10,0.9418708902495325,0.015003257834969055,0.9418708902495325,0.015003257834969055,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,precision,10,0.9461412645758622,0.026818354126287195,0.9461412645758622,0.026818354126287195,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,recall,10,0.9359341253648654,0.033466179099579656,0.9359341253648654,0.033466179099579656,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,specificity,10,0.9478076551341994,0.02504583132731251,0.9478076551341994,0.02504583132731251,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,f1,10,0.9404393647654837,0.018795888457304795,0.9404393647654837,0.018795888457304795,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,mcc,10,0.8853287090311579,0.02910462306666592,0.8853287090311579,0.02910462306666592,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,roc_auc,10,0.9866867471053713,0.009148996303741589,0.9866867471053713,0.009148996303741589,0.0,0.0,0,True
F_TableS2_fixed_parameters,LightGBM,pr_auc,10,0.9872955177177143,0.008654707906669813,0.9872955177177143,0.008654707906669813,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,accuracy,10,0.9352941176470588,0.03339095365867922,0.9352941176470588,0.03339095365867922,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,balanced_accuracy,10,0.9356998683384725,0.032643109909938885,0.9356998683384725,0.032643109909938885,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,precision,10,0.9511593379556966,0.03466358360820496,0.9511593379556966,0.03466358360820496,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,recall,10,0.9183411162917805,0.039143603190713736,0.9183411162917805,0.039143603190713736,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,specificity,10,0.9530586203851646,0.034795059444204426,0.9530586203851646,0.034795059444204426,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,f1,10,0.9341319567664689,0.0321781211816216,0.9341319567664689,0.0321781211816216,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,mcc,10,0.8713073179835492,0.06621266888847198,0.8713073179835492,0.06621266888847198,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,roc_auc,10,0.9847770526672569,0.010371000121518842,0.9847770526672569,0.010371000121518842,0.0,0.0,0,True
F_TableS2_fixed_parameters,RF,pr_auc,10,0.9860981119958317,0.009353409365411338,0.9860981119958317,0.009353409365411338,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,accuracy,10,0.9294117647058824,0.030847319063827962,0.9294117647058824,0.030847319063827962,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,balanced_accuracy,10,0.9301261133559489,0.03135430809770212,0.9301261133559489,0.03135430809770212,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,precision,10,0.9258449587861353,0.03889096343032659,0.9258449587861353,0.03889096343032659,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,recall,10,0.9320070708306002,0.05105430653525914,0.9320070708306002,0.05105430653525914,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,specificity,10,0.9282451558812979,0.036748578030780486,0.9282451558812979,0.036748578030780486,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,f1,10,0.9279913557194435,0.03377121237906061,0.9279913557194435,0.03377121237906061,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,mcc,10,0.8599244883357127,0.061380072372431885,0.8599244883357127,0.061380072372431885,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,roc_auc,10,0.9862713831306508,0.009562464643647165,0.9862713831306508,0.009562464643647165,0.0,0.0,0,True
F_TableS2_fixed_parameters,SVM,pr_auc,10,0.9868875931393433,0.009428302530551155,0.9868875931393433,0.009428302530551155,0.0,0.0,0,True
