experiment,model,metric,n,run1_mean,run1_std,run2_mean,run2_std,mean_delta,max_abs_seed_delta,changed_seeds,all_equal_at_1e_12,paper_mean,paper_std,run2_minus_paper,absolute_difference_from_paper
F_TableS2_fixed_parameters,KNN,precision,10,0.9111930009819005,0.05270864945469617,0.9111930009819005,0.05270864945469617,0.0,0.0,0,True,0.911,0.042,0.00019300098190044856,0.00019300098190044856
F_TableS2_fixed_parameters,KNN,recall,10,0.9132019417408411,0.04388645669261073,0.9132019417408411,0.04388645669261073,0.0,0.0,0,True,0.9,0.043,0.013201941740841105,0.013201941740841105
F_TableS2_fixed_parameters,KNN,mcc,10,0.8247325363231145,0.059024245849372256,0.8247325363231145,0.059024245849372256,0.0,0.0,0,True,0.806,0.074,0.018732536323114446,0.018732536323114446
F_TableS2_fixed_parameters,LR,balanced_accuracy,10,0.9296713737805662,0.0333696270511583,0.9296713737805662,0.0333696270511583,0.0,0.0,0,True,0.903,0.09,0.026671373780566165,0.026671373780566165
F_TableS2_fixed_parameters,LR,precision,10,0.9294412126954821,0.03539088041274041,0.9294412126954821,0.03539088041274041,0.0,0.0,0,True,0.922,0.104,0.007441212695482036,0.007441212695482036
F_TableS2_fixed_parameters,LR,recall,10,0.9296212213859272,0.04741674836641472,0.9296212213859272,0.04741674836641472,0.0,0.0,0,True,0.896,0.138,0.03362122138592716,0.03362122138592716
F_TableS2_fixed_parameters,LR,mcc,10,0.8594073277090747,0.06648325306130252,0.8594073277090747,0.06648325306130252,0.0,0.0,0,True,0.822,0.172,0.037407327709074734,0.037407327709074734
F_TableS2_fixed_parameters,LightGBM,balanced_accuracy,10,0.9418708902495325,0.015003257834969055,0.9418708902495325,0.015003257834969055,0.0,0.0,0,True,0.942,0.018,-0.00012910975046742657,0.00012910975046742657
F_TableS2_fixed_parameters,LightGBM,precision,10,0.9461412645758622,0.026818354126287195,0.9461412645758622,0.026818354126287195,0.0,0.0,0,True,0.947,0.031,-0.0008587354241377243,0.0008587354241377243
F_TableS2_fixed_parameters,LightGBM,recall,10,0.9359341253648654,0.033466179099579656,0.9359341253648654,0.033466179099579656,0.0,0.0,0,True,0.937,0.026,-0.0010658746351346338,0.0010658746351346338
F_TableS2_fixed_parameters,LightGBM,mcc,10,0.8853287090311579,0.02910462306666592,0.8853287090311579,0.02910462306666592,0.0,0.0,0,True,0.883,0.034,0.002328709031157894,0.002328709031157894
F_TableS2_fixed_parameters,RF,balanced_accuracy,10,0.9356998683384725,0.032643109909938885,0.9356998683384725,0.032643109909938885,0.0,0.0,0,True,0.94,0.026,-0.004300131661527429,0.004300131661527429
F_TableS2_fixed_parameters,RF,precision,10,0.9511593379556966,0.03466358360820496,0.9511593379556966,0.03466358360820496,0.0,0.0,0,True,0.965,0.02,-0.013840662044303342,0.013840662044303342
F_TableS2_fixed_parameters,RF,recall,10,0.9183411162917805,0.039143603190713736,0.9183411162917805,0.039143603190713736,0.0,0.0,0,True,0.917,0.043,0.0013411162917804642,0.0013411162917804642
F_TableS2_fixed_parameters,RF,mcc,10,0.8713073179835492,0.06621266888847198,0.8713073179835492,0.06621266888847198,0.0,0.0,0,True,0.878,0.052,-0.0066926820164507905,0.0066926820164507905
F_TableS2_fixed_parameters,SVM,balanced_accuracy,10,0.9301261133559489,0.03135430809770212,0.9301261133559489,0.03135430809770212,0.0,0.0,0,True,0.963,0.022,-0.03287388664405111,0.03287388664405111
F_TableS2_fixed_parameters,SVM,precision,10,0.9258449587861353,0.03889096343032659,0.9258449587861353,0.03889096343032659,0.0,0.0,0,True,0.951,0.03,-0.025155041213864693,0.025155041213864693
F_TableS2_fixed_parameters,SVM,recall,10,0.9320070708306002,0.05105430653525914,0.9320070708306002,0.05105430653525914,0.0,0.0,0,True,0.976,0.024,-0.043992929169399786,0.043992929169399786
F_TableS2_fixed_parameters,SVM,mcc,10,0.8599244883357127,0.061380072372431885,0.8599244883357127,0.061380072372431885,0.0,0.0,0,True,0.927,0.044,-0.06707551166428738,0.06707551166428738
