import time: self [us] | cumulative | imported package
import time:      1456 |       6566 |                   multiprocessing.context
import time:       226 |       6791 |                 multiprocessing
import time:        55 |         55 |                     zlib
import time:       192 |        192 |                       _compression
import time:        24 |         24 |                       _bz2
import time:       205 |        421 |                     bz2
import time:       170 |        170 |                       _lzma
import time:       245 |        414 |                     lzma
import time:       583 |       1472 |                   shutil
import time:       438 |       1909 |                 tempfile
import time:       239 |       8975 |               joblib._multiprocessing_helpers
import time:       147 |        147 |                 joblib.externals
import time:       121 |        121 |                   concurrent
import time:       443 |        443 |                   concurrent.futures._base
import time:       176 |        738 |                 concurrent.futures
import time:       169 |        169 |                 joblib.externals.loky._base
import time:        31 |         31 |                             _locale
import time:       373 |        404 |                           locale
import time:        16 |         16 |                           fcntl
import time:        35 |         35 |                           msvcrt
import time:         9 |          9 |                           _posixsubprocess
import time:       301 |        762 |                         subprocess
import time:       140 |        902 |                       multiprocessing.util
import time:       250 |       1152 |                     multiprocessing.synchronize
import time:       760 |        760 |                       ctypes.wintypes
import time:        16 |         16 |                             _heapq
import time:        86 |        101 |                           heapq
import time:        18 |         18 |                           _queue
import time:       126 |        245 |                         queue
import time:        31 |         31 |                           _winapi
import time:       203 |        234 |                         multiprocessing.connection
import time:       989 |        989 |                         multiprocessing.queues
import time:      1815 |       3281 |                       concurrent.futures.process
import time:        80 |         80 |                       joblib.externals.loky.backend.process
import time:       161 |       4281 |                     joblib.externals.loky.backend.context
import time:       103 |       5536 |                   joblib.externals.loky.backend
import time:        13 |       5548 |                 joblib.externals.loky.backend.context
import time:        56 |         56 |                   joblib.externals.loky.backend._posix_reduction
import time:       233 |        233 |                       dataclasses
import time:        14 |         14 |                         _uuid
import time:       171 |        184 |                       uuid
import time:       348 |        764 |                     cloudpickle.cloudpickle
import time:        79 |        843 |                   cloudpickle
import time:        93 |        991 |                 joblib.externals.loky.backend.reduction
import time:        16 |         16 |                     faulthandler
import time:        13 |         13 |                     gc
import time:        76 |         76 |                     joblib.externals.loky.backend.queues
import time:        16 |         16 |                         pwd
import time:       328 |        328 |                         psutil._common
import time:       689 |        689 |                         psutil._ntuples
import time:       131 |        131 |                             glob
import time:       591 |        591 |                             psutil._psutil_osx
import time:       209 |        930 |                           psutil._psposix
import time:       333 |       1263 |                         psutil._psosx
import time:       308 |       2602 |                       psutil
import time:        60 |       2661 |                     joblib.externals.loky.backend.utils
import time:        65 |         65 |                     joblib.externals.loky.initializers
import time:       296 |       3125 |                   joblib.externals.loky.process_executor
import time:        84 |       3208 |                 joblib.externals.loky.reusable_executor
import time:        66 |         66 |                 joblib.externals.loky.cloudpickle_wrapper
import time:       231 |      11095 |               joblib.externals.loky
import time:       190 |      20259 |             joblib._cloudpickle_wrapper
import time:       288 |        288 |               joblib._utils
import time:      2413 |       2413 |               multiprocessing.pool
import time:        26 |         26 |                   mmap
import time:       114 |        114 |                   joblib.backports
import time:        53 |         53 |                   joblib.disk
import time:        15 |         15 |                           _json
import time:       121 |        136 |                         json.scanner
import time:       172 |        307 |                       json.decoder
import time:       130 |        130 |                       json.encoder
import time:       176 |        612 |                     json
import time:       189 |        189 |                             importlib._abc
import time:        74 |        263 |                           importlib.util
import time:       832 |       1094 |                         runpy
import time:       204 |       1298 |                       multiprocessing.spawn
import time:        45 |         45 |                       _posixshmem
import time:       274 |        274 |                       multiprocessing.resource_tracker
import time:       401 |       2017 |                     joblib.externals.loky.backend.stdlib_py314_resource_tracker
import time:       189 |        189 |                     joblib.externals.loky.backend.spawn
import time:       181 |       2997 |                   joblib.externals.loky.backend.resource_tracker
import time:        80 |         80 |                       lz4
import time:       286 |        365 |                     joblib.compressor
import time:       131 |        131 |                       joblib.numpy_pickle_utils
import time:       174 |        304 |                     joblib.numpy_pickle_compat
import time:       294 |        963 |                   joblib.numpy_pickle
import time:       176 |       4327 |                 joblib._memmapping_reducer
import time:       115 |       4442 |               joblib.executor
import time:       184 |        184 |               joblib.pool
import time:       328 |       7654 |             joblib._parallel_backends
import time:       260 |        260 |                 pprint
import time:       148 |        408 |               joblib.logger
import time:       342 |        750 |             joblib._store_backends
import time:       354 |        354 |                 _decimal
import time:       146 |        499 |               decimal
import time:       177 |        676 |             joblib.hashing
import time:       400 |        400 |                     _ssl
import time:      1640 |       2039 |                   ssl
import time:       194 |        194 |                   asyncio.constants
import time:       136 |        136 |                   asyncio.coroutines
import time:       106 |        106 |                     asyncio.format_helpers
import time:       122 |        122 |                       asyncio.base_futures
import time:       229 |        229 |                       asyncio.exceptions
import time:       112 |        112 |                       asyncio.base_tasks
import time:       162 |        623 |                     _asyncio
import time:       375 |       1103 |                   asyncio.events
import time:       177 |        177 |                   asyncio.futures
import time:       142 |        142 |                   asyncio.protocols
import time:       159 |        159 |                     asyncio.transports
import time:        64 |         64 |                     asyncio.log
import time:       350 |        573 |                   asyncio.sslproto
import time:        55 |         55 |                       asyncio.mixins
import time:       226 |        281 |                     asyncio.locks
import time:       158 |        158 |                       asyncio.timeouts
import time:       168 |        326 |                     asyncio.tasks
import time:       104 |        710 |                   asyncio.staggered
import time:        67 |         67 |                   asyncio.trsock
import time:       731 |       5866 |                 asyncio.base_events
import time:       109 |        109 |                 asyncio.runners
import time:        94 |         94 |                 asyncio.queues
import time:       136 |        136 |                 asyncio.streams
import time:        87 |         87 |                 asyncio.subprocess
import time:        61 |         61 |                 asyncio.taskgroups
import time:        42 |         42 |                 asyncio.threads
import time:        92 |         92 |                   asyncio.base_subprocess
import time:       195 |        195 |                   asyncio.selector_events
import time:       296 |        581 |                 asyncio.unix_events
import time:       241 |       7213 |               asyncio
import time:       177 |        177 |                 pkgutil
import time:       225 |        225 |                 sysconfig
import time:       247 |        247 |                 _sysconfigdata__darwin_darwin
import time:       110 |        110 |                 _osx_support
import time:       879 |       1637 |               pydoc
import time:       168 |        168 |               joblib.func_inspect
import time:       316 |       9332 |             joblib.memory
import time:       202 |        202 |             joblib.parallel
import time:       256 |      39125 |           joblib
import time:       268 |      39392 |         sklearn.utils._joblib
import time:        60 |         60 |             sklearn.utils._bunch
import time:       556 |        616 |           sklearn.utils._metadata_requests
import time:        77 |        692 |         sklearn.utils.metadata_routing
import time:       174 |        174 |                 scipy.__config__
import time:        49 |         49 |                 scipy.version
import time:        10 |         10 |                   scipy._distributor_init_local
import time:        62 |         71 |                 scipy._distributor_init
import time:        34 |         34 |                     cython
import time:       159 |        192 |                   scipy._lib._testutils
import time:        59 |        251 |                 scipy._lib
import time:       571 |        571 |                 scipy._lib._pep440
import time:      1453 |       1453 |                   scipy._lib._ccallback_c
import time:       262 |       1715 |                 scipy._lib._ccallback
import time:       253 |       3082 |               scipy
import time:       360 |        360 |                         numpy._typing._add_docstring
import time:       137 |        496 |                       numpy.typing
import time:       199 |        199 |                           scipy._lib.array_api_compat.common._helpers
import time:       179 |        378 |                         scipy._lib.array_api_compat.common
import time:       122 |        499 |                       scipy._lib.array_api_compat
import time:       490 |        490 |                           scipy._lib.array_api_compat.common._aliases
import time:       105 |        105 |                           scipy._lib.array_api_compat._internal
import time:       870 |       1464 |                         scipy._lib.array_api_compat.numpy._aliases
import time:       530 |        530 |                           scipy._lib.array_api_compat.common._linalg
import time:       340 |        870 |                         scipy._lib.array_api_compat.numpy.linalg
import time:       127 |        127 |                           scipy._lib.array_api_compat.common._fft
import time:       326 |        452 |                         scipy._lib.array_api_compat.numpy.fft
import time:       335 |       3119 |                       scipy._lib.array_api_compat.numpy
import time:      2237 |       6350 |                     scipy._lib._array_api
import time:       493 |       6843 |                   scipy._lib._util
import time:       257 |       7099 |                 scipy.sparse._sputils
