import time: self [us] | cumulative | imported package
import time:        52 |         99 |                       pandas.api.types
import time:       562 |        562 |                         pandas.core.resample
import time:      1808 |       1808 |                               pandas._libs.json
import time:        80 |         80 |                               pandas.io.json._normalize
import time:        66 |         66 |                               pandas.io.json._table_schema
import time:        50 |         50 |                                       backports_abc
import time:      1988 |       2037 |                                     pandas._libs.parsers
import time:       251 |        251 |                                       pandas.io.parsers.base_parser
import time:       107 |        358 |                                     pandas.io.parsers.arrow_parser_wrapper
import time:        94 |         94 |                                     pandas.io.parsers.c_parser_wrapper
import time:       168 |        168 |                                     pandas.io.parsers.python_parser
import time:       860 |       3515 |                                   pandas.io.parsers.readers
import time:        50 |       3564 |                                 pandas.io.parsers
import time:         8 |       3572 |                               pandas.io.parsers.readers
import time:       441 |       5965 |                             pandas.io.json._json
import time:        56 |       6021 |                           pandas.io.json
import time:         9 |       6029 |                         pandas.io.json._json
import time:       584 |        584 |                         pandas.io.stata
import time:        59 |       7232 |                       pandas.api.typing
import time:        81 |       8171 |                     pandas.api
import time:        89 |         89 |                           pandas._testing.contexts
import time:       114 |        202 |                         pandas._testing._io
import time:        64 |         64 |                         pandas._testing._warnings
import time:        28 |         28 |                             cmath
import time:      2102 |       2129 |                           pandas._libs.testing
import time:       158 |       2287 |                         pandas._testing.asserters
import time:        91 |         91 |                         pandas._testing.compat
import time:       265 |       2907 |                       pandas._testing
import time:        68 |       2975 |                     pandas.testing
import time:        73 |         73 |                     pandas.util._print_versions
import time:        67 |         67 |                       pandas.io.clipboards
import time:        67 |         67 |                           pandas.io.excel._util
import time:       119 |        119 |                           pandas.io.excel._calamine
import time:        93 |         93 |                           pandas.io.excel._odfreader
import time:       185 |        185 |                           pandas.io.excel._openpyxl
import time:        71 |         71 |                           pandas.io.excel._pyxlsb
import time:        77 |         77 |                           pandas.io.excel._xlrd
import time:       639 |       1248 |                         pandas.io.excel._base
import time:        87 |         87 |                         pandas.io.excel._odswriter
import time:        95 |         95 |                         pandas.io.excel._xlsxwriter
import time:        62 |       1491 |                       pandas.io.excel
import time:        86 |         86 |                       pandas.io.feather_format
import time:        59 |         59 |                       pandas.io.gbq
import time:       680 |        680 |                       pandas.io.html
import time:        71 |         71 |                       pandas.io.orc
import time:       222 |        222 |                       pandas.io.parquet
import time:        90 |         90 |                         pandas.compat.pickle_compat
import time:       121 |        210 |                       pandas.io.pickle
import time:       200 |        200 |                         pandas.core.computation.pytables
import time:       727 |        926 |                       pandas.io.pytables
import time:       122 |        122 |                         pandas.io.sas.sasreader
import time:        57 |        178 |                       pandas.io.sas
import time:        49 |         49 |                       pandas.io.spss
import time:       317 |        317 |                       pandas.io.sql
import time:       308 |        308 |                       pandas.io.xml
import time:       100 |       4759 |                     pandas.io.api
import time:        50 |         50 |                     pandas.util._tester
import time:        40 |         40 |                     pandas._version_meson
import time:       166 |     141414 |                   pandas
import time:        48 |         48 |                       sklearn.externals
import time:        75 |        122 |                     sklearn.externals._packaging
import time:        55 |         55 |                     sklearn.externals._packaging._structures
import time:       335 |        511 |                   sklearn.externals._packaging.version
import time:       362 |        362 |                     threadpoolctl
import time:        81 |        442 |                   sklearn.utils.parallel
import time:       275 |     305639 |                 sklearn.utils.fixes
import time:       152 |     317233 |               sklearn.utils._array_api
import time:      1998 |       1998 |               sklearn.utils._isfinite
import time:       225 |     319456 |             sklearn.utils.validation
import time:       324 |     379247 |           sklearn.utils._param_validation
import time:        81 |     379328 |         sklearn.utils._chunking
import time:       473 |        473 |             html.entities
import time:       163 |        635 |           html
import time:       194 |        829 |         sklearn.utils._estimator_html_repr
import time:        59 |         59 |             sklearn.utils.deprecation
import time:      1969 |       1969 |             sklearn.utils.sparsefuncs_fast
import time:       140 |       2167 |           sklearn.utils.extmath
import time:       113 |       2280 |         sklearn.utils._indexing
import time:        49 |         49 |           sklearn.utils._missing
import time:        80 |        129 |         sklearn.utils._mask
import time:        64 |         64 |         sklearn.utils.class_weight
import time:        61 |         61 |         sklearn.utils.discovery
import time:      2098 |       2098 |         sklearn.utils.murmurhash
import time:       388 |     425257 |       sklearn.utils
import time:        17 |     425274 |     sklearn.utils._estimator_html_repr
import time:       161 |        161 |       sklearn.utils._available_if
import time:       394 |        554 |     sklearn.utils._set_output
import time:        62 |         62 |     sklearn.utils._tags
import time:       291 |     484325 |   sklearn.base
import time:      2414 |       2414 |     sklearn.utils._openmp_helpers
import time:        72 |       2486 |   sklearn.utils._show_versions
import time:        58 |         58 |   sklearn._built_with_meson
import time:       167 |     494222 | sklearn
