mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.18421638011932373,0.005266655354047851,0.013941383361816407,0.0034124328630867774,1,sqrt,480,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 480}",0.8928571428571429,0.9259259259259259,0.8148148148148148,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.8818783068783068,0.03998145793749879,62
0.24539284706115722,0.007107060231817852,0.0249936580657959,0.001217173095369917,1,sqrt,640,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 640}",0.8571428571428571,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.8894179894179894,0.03653859612829533,57
0.4892030000686646,0.01662923671828521,0.03984832763671875,0.006064408639816641,1,sqrt,1280,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 1280}",0.8214285714285714,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8518518518518519,0.8747354497354497,0.03283009093505969,65
0.7673464775085449,0.015361323751161024,0.05491921901702881,0.0069648992099210485,1,sqrt,2000,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 2000}",0.8571428571428571,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.9259259259259259,0.8888888888888888,0.8148148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8783068783068784,0.0329574846611586,64
0.03602018356323242,0.005773947695248285,0.012439918518066407,0.0008278647621325613,2,log2,80,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 80}",0.8214285714285714,0.9629629629629629,0.9259259259259259,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.8888888888888888,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.9043650793650795,0.043147045165442974,46
0.06669232845306397,0.005911729235986585,0.012254047393798827,0.0008825843276899832,2,log2,160,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 160}",0.9285714285714286,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.8928571428571429,0.03106072477420291,55
0.1272028923034668,0.0065279923541263895,0.012924432754516602,0.0006426587725703208,2,log2,320,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 320}",0.8928571428571429,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.9259259259259259,0.8888888888888888,0.892989417989418,0.030740524455340177,54
0.18756344318389892,0.005591325674142598,0.016402363777160645,0.005168522779717792,2,log2,480,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 480}",0.8571428571428571,0.9629629629629629,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.8148148148148148,0.9629629629629629,0.9259259259259259,0.8888888888888888,0.9005291005291006,0.046476595250788885,49
0.24722058773040773,0.009067873632919879,0.02449064254760742,0.0008677268460582138,2,log2,640,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 640}",0.9285714285714286,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8148148148148148,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9002645502645503,0.040916442401696465,50
0.49832298755645754,0.01273748550467943,0.03894398212432861,0.006328337493754879,2,log2,1280,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 1280}",0.9285714285714286,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.8148148148148148,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.8928571428571429,0.03890328351812896,55
0.7653213024139405,0.019718593229284105,0.05037477016448975,0.003605013387365964,2,log2,2000,"{'max_depth': 2, 'max_features': 'log2', 'n_estimators': 2000}",0.9285714285714286,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8148148148148148,0.9259259259259259,0.9629629629629629,0.8888888888888888,0.9002645502645503,0.040916442401696465,50
0.039521527290344236,0.004544429233009723,0.013287568092346191,9.568099982981207e-05,2,sqrt,80,"{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 80}",0.9642857142857143,0.9259259259259259,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.9038359788359788,0.034177447207116754,48
0.07018103599548339,0.003835942715926385,0.012584853172302245,0.0006933676971862756,2,sqrt,160,"{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 160}",0.8928571428571429,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.9259259259259259,0.8888888888888888,0.8148148148148148,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.8892857142857142,0.03705616475086088,59
0.13683631420135497,0.0057413852147824235,0.013029146194458007,0.0005851706943918902,2,sqrt,320,"{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 320}",0.8928571428571429,0.9629629629629629,0.8888888888888888,0.8518518518518519,0.9259259259259259,0.9259259259259259,0.8148148148148148,0.9629629629629629,0.9259259259259259,0.8888888888888888,0.9041005291005291,0.04432796054410615,47
0.1997236728668213,0.006892331434132447,0.014780402183532715,0.004797253866721404,2,sqrt,480,"{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 480}",0.9285714285714286,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.9629629629629629,0.9259259259259259,0.8518518518518519,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.9002645502645503,0.037413992520376284,50
